Bandpower + KNN,55.44411982084759%, 9/18,RH,[0],"freq bands 4-8, k=9"
Bandpower + KNN,51.66450812208683%, 10/18,RH,[1],"freq bands 4-8, k=9"
Bandpower + KNN,38.879741289102334%, 5/18,RH,[2],"freq bands 4-8, k=9"
Bandpower + KNN,49.194187979671014%, 10/18,RH,[3],"freq bands 4-8, k=9"
Bandpower + KNN,46.74097724912462%, 10/18,RH,[4],"freq bands 4-8, k=9"
Bandpower + KNN,41.65452552909963%, 6/18,RH,[5],"freq bands 4-8, k=9"
Bandpower + KNN,50.38866248362386%, 10/18,RH,[6],"freq bands 4-8, k=9"
Bandpower + KNN,35.03551977917919%, 2/18,RH,[7],"freq bands 4-8, k=9"
Bandpower + KNN,51.589247143616404%, 11/18,RH,[8],"freq bands 4-8, k=9"
Bandpower + KNN,46.20906412587956%, 8/18,RH,[9],"freq bands 4-8, k=9"
Bandpower + KNN,50.29257378011797%, 9/18,RH,[10],"freq bands 4-8, k=9"
Bandpower + KNN,42.170119521168424%, 5/18,RH,[11],"freq bands 4-8, k=9"
Bandpower + KNN,60.56602496242699%, 12/18,RH,[12],"freq bands 4-8, k=9"
Bandpower + KNN,45.09231353592491%, 8/18,RH,[13],"freq bands 4-8, k=9"
Bandpower + KNN,56.337004950796995%, 11/18,RH,[14],"freq bands 4-8, k=9"
Bandpower + KNN,49.924822093443915%, 7/18,RH,[15],"freq bands 4-8, k=9"
Bandpower + KNN,51.82316247244812%, 12/18,RH,[16],"freq bands 4-8, k=9"
Bandpower + KNN,48.633373706724484%, 8/18,RH,[17],"freq bands 4-8, k=9"
Bandpower + KNN,65.80913131805502%, 12/18,RH,[18],"freq bands 4-8, k=9"
Bandpower + KNN,60.56625819332655%, 10/18,RH,[19],"freq bands 4-8, k=9"
Bandpower + KNN,63.289339204898646%, 13/18,RH,[20],"freq bands 4-8, k=9"
Bandpower + KNN,58.467652616877444%, 12/18,RH,[21],"freq bands 4-8, k=9"
Bandpower + KNN,56.35957173106656%, 12/18,RH,[22],"freq bands 4-8, k=9"
Bandpower + KNN,50.45512007526586%, 10/18,RH,[23],"freq bands 4-8, k=9"
Bandpower + KNN,51.87220738566985%, 11/18,RH,[24],"freq bands 4-8, k=9"
Bandpower + KNN,37.624251419999325%, 2/18,RH,[25],"freq bands 4-8, k=9"
Bandpower + KNN,57.31654022924726%, 9/18,RH,[26],"freq bands 4-8, k=9"
Bandpower + KNN,47.711217595478814%, 8/18,RH,[27],"freq bands 4-8, k=9"
Bandpower + KNN,50.65728936914379%, 11/18,RH,[28],"freq bands 4-8, k=9"
Bandpower + KNN,45.059198374513855%, 5/18,RH,[29],"freq bands 4-8, k=9"
Bandpower + KNN,55.374787128609825%, 11/18,RH,[30],"freq bands 4-8, k=9"
Bandpower + KNN,54.59379700371328%, 11/18,RH,[31],"freq bands 4-8, k=9"
Bandpower + KNN,59.46928558552324%, 13/18,RH,[32],"freq bands 4-8, k=9"
Bandpower + KNN,61.10400823476927%, 14/18,RH,[33],"freq bands 4-8, k=9"
Bandpower + KNN,56.105222589097146%, 11/18,RH,[34],"freq bands 4-8, k=9"
Bandpower + KNN,56.71613190033268%, 10/18,RH,[35],"freq bands 4-8, k=9"
Bandpower + KNN,70.19852344276147%, 13/18,RH,[36],"freq bands 4-8, k=9"
Bandpower + KNN,69.2627043021652%, 13/18,RH,[37],"freq bands 4-8, k=9"
Bandpower + KNN,69.09526373482633%, 13/18,RH,[38],"freq bands 4-8, k=9"
Bandpower + KNN,68.02956662563386%, 15/18,RH,[39],"freq bands 4-8, k=9"
Bandpower + KNN,60.58866979692912%, 11/18,RH,[40],"freq bands 4-8, k=9"
Bandpower + KNN,56.99751291845694%, 14/18,RH,[41],"freq bands 4-8, k=9"
Bandpower + KNN,54.81028353094902%, 11/18,RH,[42],"freq bands 4-8, k=9"
Bandpower + KNN,49.470042009119695%, 11/18,RH,[43],"freq bands 4-8, k=9"
Bandpower + KNN,54.95308422573214%, 13/18,RH,[44],"freq bands 4-8, k=9"
Bandpower + KNN,53.759284328131294%, 10/18,RH,[45],"freq bands 4-8, k=9"
Bandpower + KNN,62.39570403512853%, 12/18,RH,[46],"freq bands 4-8, k=9"
Bandpower + KNN,58.829504291117594%, 11/18,RH,[47],"freq bands 4-8, k=9"
Bandpower + KNN,66.30064530540561%, 13/18,RH,[48],"freq bands 4-8, k=9"
Bandpower + KNN,64.13156346409102%, 14/18,RH,[49],"freq bands 4-8, k=9"
Bandpower + KNN,69.38171099179328%, 14/18,RH,[50],"freq bands 4-8, k=9"
Bandpower + KNN,68.91497923788945%, 14/18,RH,[51],"freq bands 4-8, k=9"
Bandpower + KNN,49.65201743358412%, 9/18,RH,[52],"freq bands 4-8, k=9"
Bandpower + KNN,57.021826880128756%, 12/18,RH,[53],"freq bands 4-8, k=9"
Bandpower + KNN,44.5098188147586%, 6/18,RH,[54],"freq bands 4-8, k=9"
Bandpower + KNN,41.980774061990076%, 6/18,RH,[55],"freq bands 4-8, k=9"
Bandpower + KNN,45.94583714104427%, 6/18,RH,[56],"freq bands 4-8, k=9"
Bandpower + KNN,47.780366857384685%, 7/18,RH,[57],"freq bands 4-8, k=9"
Bandpower + KNN,48.24242527674089%, 9/18,RH,[58],"freq bands 4-8, k=9"
Bandpower + KNN,41.43778783063033%, 6/18,RH,[59],"freq bands 4-8, k=9"
Bandpower + KNN,44.65020288042585%, 5/18,RH,[60],"freq bands 4-8, k=9"
