HFD + SVM,45.26%, 8/19,RH,[0],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,41.37%, 7/19,RH,[1],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,54.12%, 10/19,RH,[2],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,50.90%, 9/19,RH,[3],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,55.75%, 9/19,RH,[4],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,39.51%, 5/19,RH,[5],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,49.39%, 10/19,RH,[6],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,48.63%, 10/19,RH,[7],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,35.64%, 3/19,RH,[8],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,58.79%, 11/19,RH,[9],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,63.33%, 12/19,RH,[10],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,54.12%, 9/19,RH,[11],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,55.35%, 11/19,RH,[12],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,50.78%, 8/19,RH,[13],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,46.74%, 8/19,RH,[14],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,45.38%, 8/19,RH,[15],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,42.09%, 8/19,RH,[16],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,52.58%, 9/19,RH,[17],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,44.74%, 8/19,RH,[18],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,49.32%, 10/19,RH,[19],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,63.89%, 11/19,RH,[20],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,56.68%, 12/19,RH,[21],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,60.49%, 12/19,RH,[22],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,50.40%, 10/19,RH,[23],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,51.80%, 8/19,RH,[24],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,48.25%, 11/19,RH,[25],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,54.03%, 11/19,RH,[26],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,47.16%, 7/19,RH,[27],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,32.65%, 5/19,RH,[28],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,50.64%, 10/19,RH,[29],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,51.88%, 7/19,RH,[30],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,55.97%, 12/19,RH,[31],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,48.32%, 10/19,RH,[32],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,51.71%, 10/19,RH,[33],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,52.94%, 12/19,RH,[34],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,55.90%, 11/19,RH,[35],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,37.68%, 8/19,RH,[36],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,49.89%, 6/19,RH,[37],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,47.19%, 7/19,RH,[38],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,41.78%, 6/19,RH,[39],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,49.30%, 9/19,RH,[40],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,52.11%, 9/19,RH,[41],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,53.90%, 9/19,RH,[42],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,50.39%, 9/19,RH,[43],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,46.78%, 7/19,RH,[44],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,54.45%, 12/19,RH,[45],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,48.22%, 9/19,RH,[46],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,52.68%, 11/19,RH,[47],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,58.80%, 11/19,RH,[48],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,44.15%, 8/19,RH,[49],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,38.51%, 7/19,RH,[50],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,60.56%, 12/19,RH,[51],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,47.19%, 10/19,RH,[52],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,57.73%, 12/19,RH,[53],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,65.81%, 13/19,RH,[54],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,45.13%, 9/19,RH,[55],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
HFD + SVM,52.39%, 11/19,RH,[56],"HFD over 250-500/500-750/750-1000/1000-1250, nu=0.26734"
