Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PNP-RH,0.4965104685942173,0.4169811320754717,0.5856236786469344,0.4985756751607582,0.5263157894736842,[0],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5653040877367896,0.39811320754716983,0.7526427061310782,0.5531826387891862,0.5263157894736842,[1],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5992023928215354,0.49056603773584906,0.7209302325581395,0.6112990072808945,0.5789473684210527,[2],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.4077766699900299,0.35471698113207545,0.46723044397463004,0.40391651049528765,0.3157894736842105,[3],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5603190428713859,0.6283018867924528,0.48414376321353064,0.5529894036656399,0.5263157894736842,[4],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.4556331006979063,0.5113207547169811,0.39323467230443976,0.4425854847022551,0.42105263157894735,[5],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.6321036889332003,0.6283018867924528,0.6363636363636364,0.6171355686182586,0.631578947368421,[6],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5603190428713859,0.4830188679245283,0.6469344608879493,0.55066448405132,0.5263157894736842,[7],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.6161515453639083,0.5188679245283019,0.7251585623678647,0.6276754953836119,0.6842105263157895,[8],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5314057826520439,0.40943396226415096,0.6680761099365751,0.5317559302937048,0.5789473684210527,[9],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.4596211365902293,0.4320754716981132,0.4904862579281184,0.46488316791604645,0.47368421052631576,[10],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5992023928215354,0.49056603773584906,0.7209302325581395,0.5912653719420615,0.5789473684210527,[11],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.4436689930209372,0.33584905660377357,0.5644820295983086,0.4433127742842305,0.3684210526315789,[12],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.4127617148554337,0.45849056603773586,0.36152219873150104,0.4016661186036933,0.3684210526315789,[13],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5822532402791625,0.469811320754717,0.7082452431289641,0.5767874554350104,0.5789473684210527,[14],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5254237288135594,0.32075471698113206,0.7547568710359408,0.5083075672123237,0.5263157894736842,[15],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.7258225324027916,0.7490566037735849,0.6997885835095138,0.7308377092088839,0.7368421052631579,[16],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.42273180458624127,0.19433962264150945,0.678646934460888,0.4239264334910561,0.42105263157894735,[17],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.46560319042871384,0.32075471698113206,0.627906976744186,0.4799608118888275,0.5263157894736842,[18],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.3150548354935194,0.17547169811320754,0.4714587737843552,0.3196748323933864,0.2631578947368421,[19],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5912263210368893,0.5037735849056604,0.6892177589852009,0.5751897830203845,0.5789473684210527,[20],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.4127617148554337,0.3320754716981132,0.5031712473572939,0.4034186439716592,0.42105263157894735,[21],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5194416749750748,0.6283018867924528,0.3974630021141649,0.5128705338708963,0.47368421052631576,[22],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.48554336989032904,0.4339622641509434,0.5433403805496829,0.5041115354616131,0.5263157894736842,[23],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5643070787637089,0.6094339622641509,0.5137420718816068,0.546592866244447,0.47368421052631576,[24],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.5812562313060817,0.5415094339622641,0.6257928118393234,0.5707765004403351,0.5789473684210527,[25],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.4885343968095713,0.6018867924528302,0.36152219873150104,0.4986830882846964,0.42105263157894735,[26],0.7,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
