Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PDP-LH,0.571969696969697,0.7433414043583535,0.38522427440633245,0.5724710824500739,0.6428571428571429,['Fp1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5429292929292929,0.43099273607748184,0.6649076517150396,0.548877068170169,0.5714285714285714,['Fpz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.45202020202020204,0.39951573849878935,0.5092348284960422,0.44788647828595307,0.35714285714285715,['Fp2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5404040404040404,0.4213075060532688,0.6701846965699209,0.5440067238678244,0.5,['F7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5227272727272727,0.4092009685230024,0.6464379947229552,0.5167055987561308,0.5,['F3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.351010101010101,0.4043583535108959,0.2928759894459103,0.3547865224149532,0.2857142857142857,['F1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.4318181818181818,0.47699757869249393,0.38258575197889183,0.41883110550139024,0.35714285714285715,['Fz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.41919191919191917,0.3075060532687651,0.5408970976253298,0.4320705858495786,0.42857142857142855,['F2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5492424242424242,0.6077481840193705,0.48548812664907653,0.5570311561992437,0.5714285714285714,['F4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5202020202020202,0.6150121065375302,0.41688654353562005,0.533178287114359,0.5714285714285714,['F8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.43686868686868685,0.46973365617433416,0.40105540897097625,0.43467377686278447,0.42857142857142855,['FC3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.45580808080808083,0.41646489104116224,0.49868073878627966,0.46127502946820087,0.42857142857142855,['FC1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.4621212121212121,0.711864406779661,0.18997361477572558,0.4519877485821371,0.42857142857142855,['FCz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.4734848484848485,0.7917675544794189,0.1266490765171504,0.4654842523976566,0.42857142857142855,['FC2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.41792929292929293,0.5036319612590799,0.3245382585751979,0.4243311995729467,0.42857142857142855,['FC4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5151515151515151,0.549636803874092,0.47757255936675463,0.5130967110958916,0.5,['FC6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.61489898989899,0.36319612590799033,0.8891820580474934,0.6099896468483722,0.6428571428571429,['T7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.41792929292929293,0.31476997578692495,0.5303430079155673,0.42378826336143843,0.35714285714285715,['C5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5416666666666666,0.6803874092009685,0.39050131926121373,0.5395329067412907,0.6428571428571429,['C3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.49747474747474746,0.6150121065375302,0.36939313984168864,0.49046301932966996,0.5714285714285714,['C1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.7159090909090909,0.6610169491525424,0.7757255936675461,0.7165174437872032,0.7142857142857143,['Cz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5467171717171717,0.7554479418886199,0.31926121372031663,0.5328029272648022,0.5714285714285714,['C2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.3939393939393939,0.5956416464891041,0.1741424802110818,0.3912926974503329,0.35714285714285715,['C4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.48737373737373735,0.6997578692493946,0.2559366754617414,0.48402235647379815,0.42857142857142855,['C6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5606060606060606,0.4939467312348668,0.633245382585752,0.5567691206413937,0.5714285714285714,['T8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.476010101010101,0.513317191283293,0.43535620052770446,0.4737839629502118,0.35714285714285715,['CP5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.42676767676767674,0.4939467312348668,0.35356200527704484,0.4202566169032247,0.35714285714285715,['CP3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.49873737373737376,0.5254237288135594,0.46965699208443273,0.5015551403894088,0.42857142857142855,['CP1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.6060606060606061,0.7820823244552058,0.41424802110817943,0.5911745974911453,0.5,['CPz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.5921717171717171,0.7869249394673123,0.37994722955145116,0.5841311278065902,0.5714285714285714,['CP2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-LH,0.4078282828282828,0.5447941888619855,0.25857519788918204,0.4009681218533521,0.2857142857142857,['CP4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
