Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PDP-RH,0.13157894736842105,0.06490384615384616,0.23507462686567165,0.1354891491278041,0.08333333333333333,['Cz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.5219298245614035,0.7860576923076923,0.11194029850746269,0.5231636199062134,0.5,['C1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.5847953216374269,0.5793269230769231,0.5932835820895522,0.5741802267196809,0.5833333333333334,['C2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.5350877192982456,0.7091346153846154,0.26492537313432835,0.5294532733771151,0.5,['C3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.52046783625731,0.5793269230769231,0.4291044776119403,0.5275211981606833,0.4166666666666667,['C4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.5672514619883041,0.7692307692307693,0.2537313432835821,0.5710900480902923,0.5833333333333334,['C5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.2719298245614035,0.1778846153846154,0.417910447761194,0.27790545143626094,0.25,['C6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.5921052631578947,0.6225961538461539,0.5447761194029851,0.5987533877967509,0.5833333333333334,['FCz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.5058479532163743,0.34615384615384615,0.753731343283582,0.5178574123074057,0.5,['FC1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PDP-RH,0.6637426900584795,0.625,0.7238805970149254,0.6688678401393543,0.75,['FC2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
