Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PNP-L,0.644,0.6420454545454546,0.6461864406779662,0.628784173089748,0.6842105263157895,['Cz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.4,0.5871212121212122,0.1906779661016949,0.3951843231238642,0.3684210526315789,['C1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.371,0.6704545454545454,0.036016949152542374,0.37005918320045195,0.3157894736842105,['C2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.613,0.4393939393939394,0.8072033898305084,0.6210008076200864,0.631578947368421,['C3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.546,0.8238636363636364,0.23516949152542374,0.5454083308771175,0.5789473684210527,['C4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.619,0.6060606060606061,0.6334745762711864,0.6081008080468709,0.631578947368421,['C5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.573,0.875,0.23516949152542374,0.5823634697083405,0.5789473684210527,['C6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.532,0.42992424242424243,0.6461864406779662,0.5290191970484052,0.631578947368421,['C7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.712,0.8087121212121212,0.6038135593220338,0.7121281242021075,0.7894736842105263,['C8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.495,0.865530303030303,0.08050847457627118,0.49856726756364705,0.5263157894736842,['FCz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.413,0.7083333333333334,0.0826271186440678,0.40207172588915246,0.3684210526315789,['FC1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.694,0.7784090909090909,0.5995762711864406,0.6991054117315378,0.7368421052631579,['FC2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.514,0.42424242424242425,0.614406779661017,0.5141052386355236,0.5263157894736842,['FC3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.336,0.4962121212121212,0.15677966101694915,0.3339016863334502,0.3684210526315789,['FC4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.63,0.6912878787878788,0.5614406779661016,0.6144702822045719,0.5789473684210527,['FC5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.512,0.7443181818181818,0.2521186440677966,0.5088207821302285,0.5263157894736842,['FC6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.58,0.5776515151515151,0.5826271186440678,0.5597731800095881,0.5263157894736842,['FT7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.45,0.7670454545454546,0.09533898305084745,0.45659729099365537,0.42105263157894735,['FT8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.607,0.5568181818181818,0.663135593220339,0.5873173544737218,0.631578947368421,['CPz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.419,0.7670454545454546,0.029661016949152543,0.4029351539914654,0.3684210526315789,['CP1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.441,0.32386363636363635,0.5720338983050848,0.4417467570739615,0.5263157894736842,['CP2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.435,0.7765151515151515,0.05296610169491525,0.4287814087055207,0.3684210526315789,['CP3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.431,0.45075757575757575,0.4088983050847458,0.4193064194602297,0.42105263157894735,['CP4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.455,0.7859848484848485,0.0847457627118644,0.4586284814595773,0.47368421052631576,['CP5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.303,0.3390151515151515,0.2627118644067797,0.3057851199691915,0.3157894736842105,['CP6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.508,0.22537878787878787,0.8241525423728814,0.5129970729856286,0.5263157894736842,['TP7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.51,0.7840909090909091,0.2033898305084746,0.5135031704726752,0.47368421052631576,['TP8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.494,0.7992424242424242,0.15254237288135594,0.5005570429264719,0.47368421052631576,['Fz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.352,0.38636363636363635,0.3135593220338983,0.3659661739657029,0.3684210526315789,['F1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.405,0.3787878787878788,0.4343220338983051,0.4098298861043943,0.3684210526315789,['F2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.528,0.553030303030303,0.5,0.527587297936283,0.5789473684210527,['F3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.426,0.4772727272727273,0.3686440677966102,0.41114771460329136,0.3684210526315789,['F4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.541,0.8882575757575758,0.15254237288135594,0.5424173235754287,0.5263157894736842,['F5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.58,0.39015151515151514,0.7923728813559322,0.5689389264396851,0.5789473684210527,['F6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.512,0.8087121212121212,0.18008474576271186,0.49910107033411105,0.47368421052631576,['F7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.469,0.7234848484848485,0.1843220338983051,0.4723509197942392,0.5263157894736842,['F8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.689,0.5890151515151515,0.8008474576271186,0.6866866698827867,0.7368421052631579,['Pz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.489,0.5321969696969697,0.4406779661016949,0.4903226570087939,0.5263157894736842,['P1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.572,0.3977272727272727,0.7669491525423728,0.5760035924314771,0.631578947368421,['P2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.505,0.6003787878787878,0.3983050847457627,0.5074820689937575,0.42105263157894735,['P3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.746,0.5757575757575758,0.9364406779661016,0.7427915951823968,0.7894736842105263,['P4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.491,0.7954545454545454,0.1504237288135593,0.48799374301796034,0.47368421052631576,['P5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.462,0.7348484848484849,0.15677966101694915,0.4568354688899077,0.42105263157894735,['P6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.569,0.9299242424242424,0.1652542372881356,0.5701162358957406,0.5789473684210527,['P7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.495,0.7992424242424242,0.15466101694915255,0.4854540272498683,0.47368421052631576,['P8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.535,0.6553030303030303,0.4004237288135593,0.5401006783916976,0.5263157894736842,['AFz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.433,0.5587121212121212,0.2923728813559322,0.42817596421527293,0.3684210526315789,['AF3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.53,0.5795454545454546,0.4745762711864407,0.5348967336548851,0.47368421052631576,['AF4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.611,0.8484848484848485,0.3453389830508475,0.6159142228502492,0.631578947368421,['AF7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.55,0.571969696969697,0.5254237288135594,0.555813458273586,0.47368421052631576,['AF8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.608,0.5359848484848485,0.6885593220338984,0.6195066397750745,0.631578947368421,['Fp1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.528,0.3958333333333333,0.6758474576271186,0.5241379260142732,0.5789473684210527,['FP2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.492,0.7973484848484849,0.1504237288135593,0.4723066890825088,0.47368421052631576,['POz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.597,0.8541666666666666,0.3093220338983051,0.5979538431171151,0.5789473684210527,['PO3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.503,0.7007575757575758,0.2817796610169492,0.49266691304747073,0.47368421052631576,['PO4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.468,0.5700757575757576,0.3538135593220339,0.4685316488614239,0.47368421052631576,['PO7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.464,0.615530303030303,0.2944915254237288,0.4582306874975373,0.42105263157894735,['PO8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.496,0.5303030303030303,0.4576271186440678,0.5040677840229563,0.5789473684210527,['Oz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.517,0.3314393939393939,0.7245762711864406,0.5184083268751226,0.5263157894736842,['O1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.535,0.865530303030303,0.1652542372881356,0.5283045602731629,0.5263157894736842,['O2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.506,0.7329545454545454,0.2521186440677966,0.5114633736029944,0.47368421052631576,['Iz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.486,0.42613636363636365,0.5529661016949152,0.4893177645538767,0.47368421052631576,"['P4', 'Cz']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.516,0.4962121212121212,0.538135593220339,0.5051118469578902,0.5263157894736842,"['P4', 'C1']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.392,0.32765151515151514,0.4639830508474576,0.39201258022478747,0.3684210526315789,"['P4', 'C2']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-L,0.535,0.5776515151515151,0.4872881355932203,0.5109056077752655,0.5263157894736842,"['P4', 'C3']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
