Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PNP-LH,0.515422886,0.820952381,0.18125,0.52794788,0.526315789,['Cz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.478606965,0.379047619,0.5875,0.474970142,0.368421053,['C1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.508457711,0.55047619,0.4625,0.51957806,0.421052632,['C2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.476616915,0.500952381,0.45,0.458761957,0.473684211,['C3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.64079602,0.521904762,0.770833333,0.651448278,0.631578947,['C4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.540298507,0.643809524,0.427083333,0.548456341,0.578947368,['C5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.595024876,0.554285714,0.639583333,0.599559335,0.631578947,['C6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.432835821,0.335238095,0.539583333,0.444120033,0.473684211,['C7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.591044776,0.539047619,0.647916667,0.594941247,0.684210526,['C8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.424875622,0.365714286,0.489583333,0.422755218,0.473684211,['FCz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.600995025,0.558095238,0.647916667,0.593421405,0.684210526,['FC1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.526368159,0.35047619,0.71875,0.53969022,0.578947368,['FC2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.378109453,0.287619048,0.477083333,0.406019456,0.368421053,['FC3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.583084577,0.64,0.520833333,0.590764716,0.631578947,['FC4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.473631841,0.44952381,0.5,0.472578553,0.526315789,['FC5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.562189055,0.567619048,0.55625,0.564451274,0.526315789,['FC6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.380099502,0.64952381,0.085416667,0.397751512,0.315789474,['FT7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
