Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PNP-RH,0.432701894,0.432075472,0.433403805,0.422174635,0.368421053,['Cz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.569292124,0.622641509,0.509513742,0.572741975,0.684210526,['C1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.59222333,0.422641509,0.782241015,0.601590314,0.684210526,['C2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.526420738,0.401886792,0.665961945,0.530299199,0.631578947,['C3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.482552343,0.490566038,0.473572939,0.4747703,0.526315789,['C4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.484546361,0.460377358,0.511627907,0.472895983,0.421052632,['C5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.585244267,0.516981132,0.661733615,0.591520208,0.631578947,['C6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.437686939,0.686792453,0.158562368,0.451816836,0.473684211,['FCz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.477567298,0.264150943,0.716701903,0.475657161,0.526315789,['FC1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.665004985,0.556603774,0.786469345,0.664445371,0.684210526,['FC2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.503489531,0.650943396,0.338266385,0.5060933,0.578947368,['FC3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.518444666,0.543396226,0.490486258,0.525229719,0.526315789,['FC4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.430707876,0.371698113,0.496828753,0.443673457,0.421052632,['FC5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.513459621,0.558490566,0.463002114,0.502315421,0.421052632,['FC6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.333000997,0.558490566,0.080338266,0.342145903,0.315789474,['CPz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.588235294,0.422641509,0.773784355,0.596358932,0.578947368,['CP1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.482552343,0.533962264,0.424947146,0.482858936,0.578947368,['CP2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.598205384,0.698113208,0.486257928,0.582583267,0.526315789,['CP3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.36889332,0.496226415,0.226215645,0.369197126,0.368421053,['CP4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.656031904,0.456603774,0.8794926,0.666735741,0.684210526,['CP5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.526420738,0.649056604,0.389006342,0.536204742,0.578947368,['CP6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.323030907,0.111320755,0.5602537,0.326858214,0.315789474,['Fz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.413758724,0.650943396,0.147991543,0.416230055,0.368421053,['F1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.411764706,0.288679245,0.549682875,0.416395742,0.421052632,['F2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.447657029,0.669811321,0.198731501,0.452633462,0.526315789,['F3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-RH,0.525423729,0.48490566,0.570824524,0.524031824,0.473684211,['F4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
