Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.364,0.6079545454545454,0.09110169491525423,0.3768225106111939,0.3684210526315789,['Cz'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.446,0.7689393939393939,0.0847457627118644,0.45111524923983365,0.47368421052631576,['Cz'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.288,0.4071969696969697,0.15466101694915255,0.30253370688088693,0.2631578947368421,['C1'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.335,0.4943181818181818,0.15677966101694915,0.3444941346716354,0.3157894736842105,['C1'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.522,0.9147727272727273,0.0826271186440678,0.5229447338820784,0.47368421052631576,['C2'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.546,0.9318181818181818,0.11440677966101695,0.5461435346782594,0.5263157894736842,['C2'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.377,0.6666666666666666,0.05296610169491525,0.38118866887121866,0.3684210526315789,['C3'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.555,0.928030303030303,0.13771186440677965,0.5520142750766212,0.5263157894736842,['C3'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.518,0.8920454545454546,0.09957627118644068,0.5179339565302966,0.47368421052631576,['C4'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.541,0.9147727272727273,0.1228813559322034,0.5393166344097665,0.631578947368421,['C4'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.49,0.9053030303030303,0.025423728813559324,0.4909944871862948,0.5263157894736842,['C5'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.498,0.928030303030303,0.01694915254237288,0.4979104663136777,0.5263157894736842,['C5'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.423,0.7367424242424242,0.07203389830508475,0.43142864054428715,0.42105263157894735,['C6'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.505,0.875,0.09110169491525423,0.5051010355127604,0.5263157894736842,['C6'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.509,0.9053030303030303,0.06567796610169492,0.5093722992746974,0.5263157894736842,['C7'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.518,0.9204545454545454,0.06779661016949153,0.5180254466905042,0.5263157894736842,['C7'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.224,0.17613636363636365,0.2775423728813559,0.2391414977199856,0.15789473684210525,['C8'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.222,0.17424242424242425,0.2754237288135593,0.2371142072716425,0.15789473684210525,['C8'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.46,0.8200757575757576,0.057203389830508475,0.46107075637623535,0.42105263157894735,['FCz'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.469,0.8352272727272727,0.059322033898305086,0.4692911736102213,0.47368421052631576,['FCz'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.257,0.4015151515151515,0.09533898305084745,0.25323321691368866,0.2631578947368421,['FC1'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.25,0.38636363636363635,0.09745762711864407,0.24633180989073838,0.21052631578947367,['FC1'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.355,0.5549242424242424,0.13135593220338984,0.36715727631733075,0.3157894736842105,['FC2'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.492,0.9090909090909091,0.025423728813559324,0.4927892664377945,0.47368421052631576,['FC2'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.324,0.5662878787878788,0.05296610169491525,0.33151180044815576,0.3157894736842105,['FC3'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.316,0.5435606060606061,0.0614406779661017,0.3178887386735315,0.2631578947368421,['FC3'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.486,0.9034090909090909,0.019067796610169493,0.4868913925590376,0.47368421052631576,['FC4'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.494,0.9185606060606061,0.019067796610169493,0.49439216262619007,0.47368421052631576,['FC4'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.318,0.5511363636363636,0.057203389830508475,0.3351158414661534,0.3157894736842105,['FC5'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.498,0.8920454545454546,0.057203389830508475,0.4995017235245028,0.5263157894736842,['FC5'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.464,0.8768939393939394,0.00211864406779661,0.4649648941826378,0.5263157894736842,['FC6'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.462,0.875,0.0,0.46299416104819835,0.5263157894736842,['FC6'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.504,0.8787878787878788,0.0847457627118644,0.5042715384257516,0.5263157894736842,['FT7'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.504,0.8768939393939394,0.08686440677966102,0.5039992205221172,0.5263157894736842,['FT7'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.294,0.4356060606060606,0.13559322033898305,0.3051876928893403,0.3157894736842105,['FT8'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.298,0.4412878787878788,0.13771186440677965,0.3090233445007781,0.3157894736842105,['FT8'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.472,0.8712121212121212,0.025423728813559324,0.4747009338995708,0.5263157894736842,['CPz'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.468,0.8693181818181818,0.019067796610169493,0.47074667228250794,0.5263157894736842,['CPz'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.487,0.8731060606060606,0.05508474576271186,0.4883180333683112,0.5263157894736842,['CP1'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.482,0.8731060606060606,0.04449152542372881,0.48320988491015615,0.5263157894736842,['CP1'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.503,0.8825757575757576,0.07838983050847458,0.49753817132471917,0.5263157894736842,['CP2'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.495,0.8636363636363636,0.0826271186440678,0.48427385154944463,0.47368421052631576,['CP2'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.499,0.8674242424242424,0.08686440677966102,0.4980462718082342,0.5263157894736842,['CP3'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.595,0.9147727272727273,0.23728813559322035,0.5914687059956577,0.5789473684210527,['CP3'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.483,0.8238636363636364,0.1016949152542373,0.4632345483705087,0.47368421052631576,['CP4'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.494,0.8276515151515151,0.12076271186440678,0.47258177257712913,0.5263157894736842,['CP4'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.48,0.8712121212121212,0.0423728813559322,0.48177202812464476,0.47368421052631576,['CP5'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.502,0.8920454545454546,0.06567796610169492,0.5015345717567004,0.47368421052631576,['CP5'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.499,0.8238636363636364,0.13559322033898305,0.47821853583061724,0.5263157894736842,['CP6'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.501,0.8295454545454546,0.13347457627118645,0.47996217132090746,0.5263157894736842,['CP6'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.49,0.8806818181818182,0.05296610169491525,0.49334538289478347,0.5263157894736842,['TP7'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.491,0.875,0.0614406779661017,0.4950190897803003,0.5263157894736842,['TP7'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.283,0.42803030303030304,0.12076271186440678,0.3006709434455303,0.2631578947368421,['TP8'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.279,0.4185606060606061,0.1228813559322034,0.2941073764333183,0.2631578947368421,['TP8'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.369,0.5965909090909091,0.11440677966101695,0.3652604758581531,0.3157894736842105,['Fz'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.435,0.7140151515151515,0.1228813559322034,0.424635922208857,0.42105263157894735,['Fz'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.304,0.42803030303030304,0.1652542372881356,0.3013142315080564,0.2631578947368421,['F1'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.302,0.42234848484848486,0.1673728813559322,0.29954549054401575,0.21052631578947367,['F1'],0.6,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.408,0.7348484848484849,0.0423728813559322,0.41781120389914506,0.3684210526315789,['F2'],0.6,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.343,0.26136363636363635,0.4343220338983051,0.3297430679133217,0.3157894736842105,['Cz'],0.5,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.356,0.2859848484848485,0.4343220338983051,0.34152765873918206,0.3157894736842105,['Cz'],0.5,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.292,0.4318181818181818,0.13559322033898305,0.27383935277802157,0.3157894736842105,['C1'],0.5,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.288,0.42613636363636365,0.13347457627118645,0.270123634789333,0.3157894736842105,['C1'],0.5,"{""pca_components"": 2}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.36,0.4640151515151515,0.24364406779661016,0.34225076743659505,0.3684210526315789,['C2'],0.5,"{""pca_components"": 1}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.354,0.3522727272727273,0.3559322033898305,0.3355772515116091,0.3684210526315789,['C2'],0.5,"{""pca_components"": 2}",
