Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.323,0.4147727272727273,0.22033898305084745,0.3104467377626065,0.3157894736842105,['Cz'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.408,0.5018939393939394,0.3029661016949153,0.3943364986186583,0.3684210526315789,['C1'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.289,0.4128787878787879,0.1504237288135593,0.2777181510546068,0.2631578947368421,['C2'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.588,0.6212121212121212,0.5508474576271186,0.5753110385524294,0.5789473684210527,['C3'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.46,0.30492424242424243,0.6334745762711864,0.4459491673864272,0.47368421052631576,['C4'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.513,0.5359848484848485,0.4872881355932203,0.49387656996916046,0.47368421052631576,['C5'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.611,0.571969696969697,0.6546610169491526,0.5886179673793887,0.631578947368421,['C6'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.281,0.3522727272727273,0.20127118644067796,0.2706461274744897,0.21052631578947367,['FCz'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.465,0.36174242424242425,0.5805084745762712,0.4501385691495341,0.47368421052631576,['FC1'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.32,0.42045454545454547,0.2076271186440678,0.30240350318942,0.3157894736842105,['FC2'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.52,0.5170454545454546,0.5233050847457628,0.5078490541282873,0.47368421052631576,['FC3'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.434,0.5113636363636364,0.3474576271186441,0.41526571117696554,0.47368421052631576,['FC4'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.53,0.5321969696969697,0.527542372881356,0.5136305084415081,0.5263157894736842,['FC5'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.482,0.5378787878787878,0.4194915254237288,0.46022703667317694,0.47368421052631576,['FC6'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.538,0.6174242424242424,0.4491525423728814,0.5184034550389618,0.47368421052631576,['CPz'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.534,0.6496212121212122,0.4046610169491525,0.5170741717980321,0.5263157894736842,['CP1'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.519,0.5890151515151515,0.4406779661016949,0.5010246319536489,0.47368421052631576,['CP2'],0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.617,0.6534090909090909,0.576271186440678,0.5971657709129405,0.5789473684210527,['CP3'],0.5,"{""pca_components"": 3}",
