PCA + SVM,66.71402425030739%, 12/19,RH,"[0, 0]","nu=0.7005, n_components=5"
PCA + SVM,67.9244080628892%, 14/19,RH,"[0, 1]","nu=0.7005, n_components=5"
PCA + SVM,56.591036361267925%, 11/19,RH,"[0, 2]","nu=0.7005, n_components=5"
PCA + SVM,65.48369871916509%, 13/19,RH,"[0, 3]","nu=0.7005, n_components=5"
PCA + SVM,54.70790861170025%, 11/19,RH,"[0, 4]","nu=0.7005, n_components=5"
PCA + SVM,60.11625766571507%, 13/19,RH,"[0, 5]","nu=0.7005, n_components=5"
PCA + SVM,74.14006950936299%, 16/19,RH,"[0, 6]","nu=0.7005, n_components=5"
PCA + SVM,65.21780597378215%, 15/19,RH,"[0, 7]","nu=0.7005, n_components=5"
PCA + SVM,58.849624588518544%, 12/19,RH,"[0, 8]","nu=0.7005, n_components=5"
PCA + SVM,69.60760704647893%, 13/19,RH,"[0, 9]","nu=0.7005, n_components=5"
PCA + SVM,66.87657649531225%, 12/19,RH,"[0, 10]","nu=0.7005, n_components=5"
PCA + SVM,65.0142551858343%, 12/19,RH,"[0, 11]","nu=0.7005, n_components=5"
PCA + SVM,58.25204375475484%, 9/19,RH,"[0, 12]","nu=0.7005, n_components=5"
PCA + SVM,53.315861883311946%, 9/19,RH,"[0, 13]","nu=0.7005, n_components=5"
PCA + SVM,58.63294552705025%, 11/19,RH,"[0, 14]","nu=0.7005, n_components=5"
PCA + SVM,57.884800625579324%, 11/19,RH,"[0, 15]","nu=0.7005, n_components=5"
PCA + SVM,67.03237305073162%, 14/19,RH,"[0, 16]","nu=0.7005, n_components=5"
PCA + SVM,60.14084649497151%, 10/19,RH,"[0, 17]","nu=0.7005, n_components=5"
PCA + SVM,64.3404260100843%, 11/19,RH,"[0, 18]","nu=0.7005, n_components=5"
PCA + SVM,65.44095574096713%, 12/19,RH,"[0, 19]","nu=0.7005, n_components=5"
PCA + SVM,54.31928128286536%, 10/19,RH,"[0, 20]","nu=0.7005, n_components=5"
PCA + SVM,64.94811735266399%, 15/19,RH,"[0, 21]","nu=0.7005, n_components=5"
PCA + SVM,73.65408549838948%, 16/19,RH,"[0, 22]","nu=0.7005, n_components=5"
PCA + SVM,67.96853205577692%, 14/19,RH,"[0, 23]","nu=0.7005, n_components=5"
PCA + SVM,72.09255847645927%, 16/19,RH,"[0, 24]","nu=0.7005, n_components=5"
PCA + SVM,48.23820098271282%, 9/19,RH,"[0, 25]","nu=0.7005, n_components=5"
PCA + SVM,77.40252305032358%, 16/19,RH,"[0, 26]","nu=0.7005, n_components=5"
PCA + SVM,70.73850892671986%, 13/19,RH,"[0, 27]","nu=0.7005, n_components=5"
PCA + SVM,64.42193612951984%, 11/19,RH,"[0, 28]","nu=0.7005, n_components=5"
PCA + SVM,76.11682685960407%, 16/19,RH,"[0, 29]","nu=0.7005, n_components=5"
PCA + SVM,60.89494750329189%, 11/19,RH,"[0, 30]","nu=0.7005, n_components=5"
PCA + SVM,74.59547721080632%, 14/19,RH,"[0, 31]","nu=0.7005, n_components=5"
PCA + SVM,57.089138915937774%, 11/19,RH,"[0, 32]","nu=0.7005, n_components=5"
PCA + SVM,46.121925093604574%, 9/19,RH,"[0, 33]","nu=0.7005, n_components=5"
PCA + SVM,65.26891936418944%, 12/19,RH,"[0, 34]","nu=0.7005, n_components=5"
PCA + SVM,49.59134666775237%, 8/19,RH,"[0, 35]","nu=0.7005, n_components=5"
PCA + SVM,52.612594866477295%, 11/19,RH,"[0, 36]","nu=0.7005, n_components=5"
PCA + SVM,42.08433471774665%, 7/19,RH,"[0, 37]","nu=0.7005, n_components=5"
PCA + SVM,71.18149514335944%, 15/19,RH,"[0, 38]","nu=0.7005, n_components=5"
PCA + SVM,76.32109914075556%, 16/19,RH,"[0, 39]","nu=0.7005, n_components=5"
PCA + SVM,67.74574238541736%, 15/19,RH,"[0, 40]","nu=0.7005, n_components=5"
PCA + SVM,80.23442332846024%, 17/19,RH,"[0, 41]","nu=0.7005, n_components=5"
PCA + SVM,70.33887037762837%, 13/19,RH,"[0, 42]","nu=0.7005, n_components=5"
